CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
1659,FACULDADE ESTÁCIO DE SÁ DE OURINHOS,FAESO,Privada com fins lucrativos,Faculdade,Sudeste
22191,Faculdade Estácio de Jaraguá do Sul,Estácio Jaraguá,Privada com fins lucrativos,Faculdade,Sul
1986,CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA,,Privada com fins lucrativos,Centro Universitário,Sudeste
163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,Universidade,Sudeste
22076,Faculdade Estácio de Alagoinhas,,Privada com fins lucrativos,Faculdade,Nordeste
2501,FACULDADE ESTÁCIO DE SÁ DE GOIÁS,FESGO,Privada com fins lucrativos,Faculdade,Centro-Oeste
1510,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,,Privada com fins lucrativos,Centro Universitário,Sul
1149,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,Privada com fins lucrativos,Centro Universitário,Sudeste
165,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Privada com fins lucrativos,Universidade,Sudeste
166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",,Privada sem fins lucrativos,Faculdade,Sudeste
167,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Privada sem fins lucrativos,Universidade,Sudeste
171,FACULDADE DE DIREITO DO SUL DE MINAS,FDSM,Privada sem fins lucrativos,Faculdade,Sudeste
1586,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,Privada sem fins lucrativos,Universidade,Sudeste
176,UNIVERSIDADE CASTELO BRANCO,UCB,Privada sem fins lucrativos,Universidade,Sudeste
3753,FACULDADES INTEGRADAS DOM PEDRO II,DOMPEDRO,Privada sem fins lucrativos,Faculdade,Sudeste
2409,CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA,ASCES-UNITA,Privada sem fins lucrativos,Centro Universitário,Nordeste
1041,UNIVERSIDADE DO VALE DO TAQUARI,UNIVATES,Privada sem fins lucrativos,Universidade,Sul
1153,UNIVERSIDADE CÂNDIDO MENDES,UCAM,Privada sem fins lucrativos,Universidade,Sudeste
191,FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS,FCCAE,Privada sem fins lucrativos,Faculdade,Sudeste
190,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,Privada sem fins lucrativos,Faculdade,Sudeste
194,ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES,EEFTESM,Privada sem fins lucrativos,Faculdade,Sudeste
192,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES,FFCLSM,Privada sem fins lucrativos,Faculdade,Sudeste
193,FACULDADE DE ENGENHARIA SOUZA MARQUES,FESM,Privada sem fins lucrativos,Faculdade,Sudeste
197,FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ,FESPPR,Privada sem fins lucrativos,Faculdade,Sul
200,FACULDADE CÁSPER LÍBERO,FCL,Privada sem fins lucrativos,Faculdade,Sudeste
203,UNIVERSIDADE SÃO JUDAS TADEU,USJT,Privada com fins lucrativos,Universidade,Sudeste
1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,Privada sem fins lucrativos,Centro Universitário,Sudeste
206,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,Privada sem fins lucrativos,Centro Universitário,Sudeste
207,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Privada sem fins lucrativos,Centro Universitário,Sudeste
208,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Privada sem fins lucrativos,Universidade,Sudeste
2183,CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ,CUFSA,Privada sem fins lucrativos,Centro Universitário,Sudeste
4502,FACULDADES INTEGRADAS CAMPO-GRANDENSES,FIC,Privada sem fins lucrativos,Faculdade,Sudeste
213,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,Privada sem fins lucrativos,Centro Universitário,Sudeste
214,FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG,FEAMIG,Privada sem fins lucrativos,Faculdade,Sudeste
216,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,Privada sem fins lucrativos,Centro Universitário,Sudeste
217,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,UNIFAE,Especial,Centro Universitário,Sudeste
219,FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL,FAECA DOM BOSCO,Privada sem fins lucrativos,Faculdade,Sudeste
220,FACULDADE SÃO JUDAS TADEU,FSJT,Privada sem fins lucrativos,Faculdade,Sudeste
221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Privada com fins lucrativos,Universidade,Sudeste
222,CENTRO UNIVERSITÁRIO DE VOTUPORANGA,UNIFEV,Privada sem fins lucrativos,Centro Universitário,Sudeste
224,Centro Universitário Saúde ABC,CUSABC,Privada sem fins lucrativos,Centro Universitário,Sudeste
226,CENTRO UNIVERSITÁRIO LUSÍADA,UNILUS,Privada sem fins lucrativos,Centro Universitário,Sudeste
227,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,Privada sem fins lucrativos,Universidade,Sudeste
1878,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS,FEI,Privada sem fins lucrativos,Centro Universitário,Sudeste
231,FACULDADE DE SÃO BERNARDO DO CAMPO - FASB,FASB I,Privada sem fins lucrativos,Faculdade,Sudeste
1445,CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,CEUN-IMT,Privada sem fins lucrativos,Centro Universitário,Sudeste
234,FACULDADES OSWALDO CRUZ,FOC,Privada com fins lucrativos,Faculdade,Sudeste
1836,CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB,UNIFEOB,Privada sem fins lucrativos,Centro Universitário,Sudeste
240,UNIVERSIDADE SANTA ÚRSULA,USU,Privada sem fins lucrativos,Universidade,Sudeste
243,FACULDADE DO CLUBE NÁUTICO MOGIANO,FCNM,Privada sem fins lucrativos,Faculdade,Sudeste
244,CENTRO UNIVERSITÁRIO FIEO,UNIFIEO,Privada sem fins lucrativos,Centro Universitário,Sudeste
1266,FACULDADES INTEGRADAS URUBUPUNGÁ,FIU,Privada sem fins lucrativos,Faculdade,Sudeste
1230,CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL,UNIPINHAL,Privada sem fins lucrativos,Centro Universitário,Sudeste
255,FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP,FEAP,Privada sem fins lucrativos,Faculdade,Sudeste
263,FACULDADES INTEGRADAS CAMPOS SALLES,FICS,Privada sem fins lucrativos,Faculdade,Sudeste
265,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,Privada sem fins lucrativos,Centro Universitário,Sudeste
266,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,Privada sem fins lucrativos,Universidade,Sudeste
267,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,,Privada sem fins lucrativos,Centro Universitário,Sudeste
2056,FACULDADE DA ALTA PAULISTA,FAP,Privada com fins lucrativos,Faculdade,Sudeste
269,FACULDADE FACCAT,FACCAT,Privada com fins lucrativos,Faculdade,Sudeste
271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Privada sem fins lucrativos,Universidade,Sudeste
275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Privada sem fins lucrativos,Universidade,Sudeste
276,FACULDADE DE DIREITO DE SOROCABA,FADI,Privada sem fins lucrativos,Faculdade,Sudeste
277,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,Privada sem fins lucrativos,Centro Universitário,Sudeste
278,FACULDADES INTEGRADAS SIMONSEN,FIS,Privada sem fins lucrativos,Faculdade,Sudeste
279,FACULDADES INTEGRADAS HÉLIO ALONSO,FACHA,Privada sem fins lucrativos,Faculdade,Sudeste
1559,CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO,UNESC,Privada sem fins lucrativos,Centro Universitário,Sudeste
288,FACULDADE DE DIREITO DO VALE DO RIO DOCE,FADIVALE,Privada sem fins lucrativos,Faculdade,Sudeste
5318,FACULDADE GUILHERME GUIMBALA,FGG,Privada sem fins lucrativos,Faculdade,Sul
294,FACULDADE TRÊS DE MAIO,SETREM,Privada sem fins lucrativos,Faculdade,Sul
