CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
1998,INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL,ISEED,Privada com fins lucrativos,Faculdade,Sudeste
2763,FACULDADE DE CIÊNCIAS GERENCIAIS DE SÃO GOTARDO,CESG,Privada com fins lucrativos,Faculdade,Sudeste
2021,FACULDADE JK - UNIDADE II - GAMA,,Privada com fins lucrativos,Faculdade,Centro-Oeste
2022,FACULDADE DE ROLIM DE MOURA,FAROL,Privada com fins lucrativos,Faculdade,Norte
2023,Centro Universitário FG,UNIFG,Privada com fins lucrativos,Centro Universitário,Nordeste
2027,FACULDADE DE CAMPINA GRANDE,FAC-CG,Privada com fins lucrativos,Faculdade,Nordeste
4849,Centro Universitário Tocantinense Presidente Antônio Carlos,UNITPAC,Privada com fins lucrativos,Centro Universitário,Norte
2035,UNIÃO LATINO-AMERICANA DE TECNOLOGIA,ULT,Privada com fins lucrativos,Faculdade,Sul
2040,FACULDADE DO FUTURO,FAF,Privada com fins lucrativos,Faculdade,Sudeste
2042,FACULDADE FIGUEIREDO COSTA - FIC,,Privada com fins lucrativos,Faculdade,Nordeste
2043,FACULDADE VALE DO SALGADO,FVS,Privada com fins lucrativos,Faculdade,Nordeste
2045,FACULDADE AMADEUS,FAMA,Privada com fins lucrativos,Faculdade,Nordeste
2049,INSTITUTO DE ESTUDOS SUPERIORES DO MARANHÃO,IESMA,Privada sem fins lucrativos,Faculdade,Nordeste
2058,FACULDADE METROPOLITANA,UNNESA,Privada com fins lucrativos,Faculdade,Norte
2067,FACULDADE DE CIÊNCIAS E EMPREENDEDORISMO,FACEMP,Privada com fins lucrativos,Faculdade,Nordeste
2069,FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS,FATECH,Privada sem fins lucrativos,Faculdade,Norte
2072,FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL,IEVAL,Privada sem fins lucrativos,Faculdade,Norte
2079,FACULDADE DE ITAITUBA,FAI,Privada com fins lucrativos,Faculdade,Norte
4631,FACULDADE ANGLO-AMERICANO DE JOÃO PESSOA,FAAJP,Privada com fins lucrativos,Faculdade,Nordeste
2082,FACULDADE DE CIÊNCIAS MÉDICAS DA PARAÍBA,FCM-PB,Privada com fins lucrativos,Faculdade,Nordeste
2091,INSTITUTO SUPERIOR DE EDUCAÇÃO PRÓ-SABER,ISEPS,Privada sem fins lucrativos,Faculdade,Sudeste
20547,Faculdade Novo Tempo de Itapipoca,FNIT,Privada sem fins lucrativos,Faculdade,Nordeste
2111,CENTRO UNIVERSITÁRIO INTA,UNINTA,Privada sem fins lucrativos,Centro Universitário,Nordeste
17394,Faculdade Alencarina de Sobral,FAL,Privada sem fins lucrativos,Faculdade,Nordeste
2113,FACULDADE DOM BOSCO DE PORTO ALEGRE,FDB,Privada sem fins lucrativos,Faculdade,Sul
2117,FACULDADE DE CIÊNCIA E TECNOLOGIA,FACITEC,Privada com fins lucrativos,Faculdade,Sul
2123,CENTRO UNIVERSITÁRIO MAX PLANCK,UniMAX,Privada com fins lucrativos,Centro Universitário,Sudeste
2124,FACULDADE CALAFIORI,CALAFIORI,Privada com fins lucrativos,Faculdade,Sudeste
2146,FACULDADE DO ACRE,FAC,Privada com fins lucrativos,Faculdade,Norte
2132,CENTRO UNIVERSITÁRIO UNINORTE,,Privada com fins lucrativos,Centro Universitário,Norte
1226,INSTITUTO DE ENSINO SUPERIOR DO ACRE,IESACRE,Privada com fins lucrativos,Faculdade,Norte
2134,FACULDADE ASSEMBLEIANA DO BRASIL,,Privada sem fins lucrativos,Faculdade,Centro-Oeste
2137,FACULDADE SÃO MARCOS,FASAMAR,Privada com fins lucrativos,Faculdade,Norte
2141,FACULDADES BATISTA DO PARANÁ,FABAPAR,Privada sem fins lucrativos,Faculdade,Sul
2147,Centro Universitário CEUNI - FAMETRO,FAMETRO,Privada com fins lucrativos,Centro Universitário,Norte
2154,INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA,ISAT,Privada com fins lucrativos,Faculdade,Sudeste
2160,FACULDADE SANT ANA,IESSA,Privada sem fins lucrativos,Faculdade,Sul
2158,FACULDADE SANTA MARIA,FSM,Privada com fins lucrativos,Faculdade,Nordeste
2177,Faculdade Instituto Paulista de Ensino,FIPEN,Privada com fins lucrativos,Faculdade,Sudeste
2180,RATIO - FACULDADE TEOLÓGICA E FILOSÓFICA,RATIO,Privada com fins lucrativos,Faculdade,Nordeste
2186,FACULDADE SALESIANA DOM BOSCO,FSDB,Privada sem fins lucrativos,Faculdade,Norte
2192,INSTITUTO SUPERIOR DE EDUCAÇÃO IVOTI,ISEI,Privada sem fins lucrativos,Faculdade,Sul
2198,FACULDADE MONTEIRO LOBATO,FATO,Privada sem fins lucrativos,Faculdade,Sul
2200,FACULDADE VALE DO GORUTUBA,FAVAG,Privada com fins lucrativos,Faculdade,Sudeste
2205,Faculdade REGES de Tupi Paulista,,Privada sem fins lucrativos,Faculdade,Sudeste
2222,Centro Universitário do Rio São Francisco Unirios,UNIRIOS,Privada com fins lucrativos,Centro Universitário,Nordeste
2233,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE,FACISABH,Privada com fins lucrativos,Faculdade,Sudeste
1314,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE MINAS GERAIS,FACISAMG,Privada com fins lucrativos,Faculdade,Sudeste
2237,FACULDADE TEOLÓGICA BATISTA EQUATORIAL,FATEBE,Privada sem fins lucrativos,Faculdade,Norte
2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,FAEX,Privada sem fins lucrativos,Faculdade,Sudeste
2282,FACULDADE DE CAFELÂNDIA,FAC,Privada com fins lucrativos,Faculdade,Sul
2289,FACULDADE UNIÃO CULTURAL DO ESTADO DE SÃO PAULO,UCESP,Privada sem fins lucrativos,Faculdade,Sudeste
2779,FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE,FIOURO,Privada sem fins lucrativos,Faculdade,Norte
2297,FACULDADE DE DIREITO DE SANTA MARIA,FADISMA,Privada com fins lucrativos,Faculdade,Sul
3157,INSTITUTO SUPERIOR DE EDUCAÇÃO ALMEIDA RODRIGUES,ISEAR,Privada com fins lucrativos,Faculdade,Centro-Oeste
2288,FACULDADE ALMEIDA RODRIGUES,FAR,Privada com fins lucrativos,Faculdade,Centro-Oeste
2301,FACULDADE FIDELIS,FF,Privada sem fins lucrativos,Faculdade,Sul
2320,INSTITUTO SUPERIOR DE EDUCAÇÃO ATENEU,ISEAT,Privada com fins lucrativos,Faculdade,Sudeste
2308,FACULDADE GEREMÁRIO DANTAS,SFNSC,Privada sem fins lucrativos,Faculdade,Sudeste
4068,FACULDADE ICESP,ICESP,Privada com fins lucrativos,Faculdade,Centro-Oeste
2323,FACULDADE DA AMAZÔNIA,FAMA,Privada com fins lucrativos,Faculdade,Norte
2332,FACULDADE CORPORATIVA CESPI,FACESPI,Privada com fins lucrativos,Faculdade,Sudeste
2336,CENTRO UNIVERSITÁRIO MONTES BELOS,,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
3533,FACULDADE CERES,FACERES,Privada com fins lucrativos,Faculdade,Sudeste
2343,Centro Universitário U:VERSE,,Privada com fins lucrativos,Centro Universitário,Norte
2346,INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER,IFIBE,Privada sem fins lucrativos,Faculdade,Sul
2350,ESCOLA SUPERIOR MADRE CELESTE,ESMAC,Privada com fins lucrativos,Faculdade,Norte
2356,FACULDADE PAN AMERICANA,FPA,Privada sem fins lucrativos,Faculdade,Norte
14303,FACULDADE PADRAO DE SENADOR CANEDO,FAPSC,Privada com fins lucrativos,Faculdade,Centro-Oeste
2361,FACULDADE PADRÃO,-,Privada com fins lucrativos,Faculdade,Centro-Oeste
2702,FACULDADE DE CIÊNCIAS JURÍDICAS DE PARAÍSO DO TOCANTINS,FCJP,Privada com fins lucrativos,Faculdade,Norte
22096,FACULDADE SÃO LEOPOLDO MANDIC DE ARARAS,SLMANDIC-ARARAS,Privada com fins lucrativos,Faculdade,Sudeste
2368,FACULDADE SÃO LEOPOLDO MANDIC,,Privada com fins lucrativos,Faculdade,Sudeste
2369,INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO,INESA,Privada com fins lucrativos,Faculdade,Sul
2821,Faculdade Meridional RS,IMED,Privada com fins lucrativos,Faculdade,Sul
2383,FACULDADE MERIDIONAL,IMED,Privada com fins lucrativos,Faculdade,Sul
2389,FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI,FFTP,Privada sem fins lucrativos,Faculdade,Sudeste
2397,FACULDADE FUCAPE,FUCAPE,Privada sem fins lucrativos,Faculdade,Sudeste
1053,CENTRO UNIVERSIÁRIO UNIFTC DE FEIRA DE SANTANA,,Privada com fins lucrativos,Centro Universitário,Nordeste
1645,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ,FTC,Privada com fins lucrativos,Faculdade,Nordeste
1642,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,Privada com fins lucrativos,Faculdade,Nordeste
1461,CENTRO UNIVERSIÁRIO UNIFTC SALVADOR,,Privada com fins lucrativos,Centro Universitário,Nordeste
1364,CENTRO UNIVERSIÁRIO UNIFTC,,Privada com fins lucrativos,Centro Universitário,Nordeste
2402,Faculdade de Tecnologia e Ciências,FTC CENTRO,Privada com fins lucrativos,Faculdade,Nordeste
3838,FACULDADE ESTÁCIO DE JOÃO PESSOA - ESTÁCIO DE JOÃO PESSOA,,Privada com fins lucrativos,Faculdade,Nordeste
2408,FACULDADE ESAMC SANTOS,ESAMC,Privada com fins lucrativos,Faculdade,Sudeste
2410,FACULDADE CEARENSE,FAC,Privada sem fins lucrativos,Faculdade,Nordeste
2413,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,FAESF,Privada com fins lucrativos,Faculdade,Nordeste
2423,FACULDADE DE CIÊNCIA E TECNOLOGIA DE MONTES CLAROS,FACIT,Privada sem fins lucrativos,Faculdade,Sudeste
2426,FACULDADE INTEGRADA BRASIL AMAZONIA - FIBRA,FIBRA,Privada com fins lucrativos,Faculdade,Norte
2427,FACULDADE LUSÓFONA DA BAHIA,FL-BA,Privada com fins lucrativos,Faculdade,Nordeste
2428,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS,FACICA,Privada com fins lucrativos,Faculdade,Sudeste
2969,INSTITUTO SUPERIOR DE EDUCAÇÃO OCIDENTE,OCIDEMNTE,Privada sem fins lucrativos,Faculdade,Nordeste
2440,FACULDADE CIDADE DE JOÃO PINHEIRO,FCJP,Privada sem fins lucrativos,Faculdade,Sudeste
2456,FACULDADE DE ADMINISTRAÇÃO DE CHAPADÃO DO SUL,FACHASUL,Privada sem fins lucrativos,Faculdade,Centro-Oeste
2459,FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ,FEAPA,Privada com fins lucrativos,Faculdade,Norte
2466,FACUDADE IEDUCARE - FIED,FIED,Privada com fins lucrativos,Faculdade,Nordeste
2469,INSTITUTO MACAPAENSE DE ENSINO SUPERIOR,IMMES,Privada com fins lucrativos,Faculdade,Norte
2475,FACULDADE DOM LUCIANO MENDES,FDLM,Privada sem fins lucrativos,Faculdade,Sudeste
12749,"FACULDADES UNIDAS DE PESQUISA, CIÊNCIAS E SAÚDE LTDA",FAPEC,Privada com fins lucrativos,Faculdade,Nordeste
2474,FACULDADE MARIA MILZA,FAMAM,Privada com fins lucrativos,Faculdade,Nordeste
2477,FACULDADE DE ADMINISTRAÇÃO DE MARIANA,FAMA,Privada sem fins lucrativos,Faculdade,Sudeste
2478,FACULDADE DE INTEGRAÇÃO DO ENSINO SUPERIOR DO CONE SUL,FISUL,Privada com fins lucrativos,Faculdade,Sul
2488,FACULDADE ANGLICANA DE ERECHIM,FAE,Privada sem fins lucrativos,Faculdade,Sul
2485,FACULDADE CATÓLICA DE FORTALEZA,FCF,Privada sem fins lucrativos,Faculdade,Nordeste
2497,CENTRO UNIVERSITÁRIO ATENEU,,Privada com fins lucrativos,Centro Universitário,Nordeste
3609,FACULDADES INTEGRADAS IPITANGA,FACIIP,Privada com fins lucrativos,Faculdade,Nordeste
2500,FACULDADE EINSTEIN,,Privada com fins lucrativos,Faculdade,Nordeste
2513,Faculdade Positivo Londrina,FPL,Privada com fins lucrativos,Faculdade,Sul
2521,INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ,ISESPI,Privada com fins lucrativos,Faculdade,Nordeste
2532,FACULDADE DO SUDESTE GOIANO,FASUG,Privada com fins lucrativos,Faculdade,Centro-Oeste
2536,FACULDADE RORAIMENSE DE ENSINO SUPERIOR,FARES,Privada com fins lucrativos,Faculdade,Norte
2537,FACULDADE SÃO GERALDO,FSG,Privada com fins lucrativos,Faculdade,Sudeste
19208,FACULDADE CAPIXABA DE CARIACICA,MULTIVIX CARIAC,Privada com fins lucrativos,Faculdade,Sudeste
19050,FACULDADE INTEGRADA DE CARIACICA,MULTIVIX CARIAC,Privada com fins lucrativos,Faculdade,Sudeste
2538,FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,Privada com fins lucrativos,Faculdade,Sudeste
2554,FACULDADE DE EDUCAÇÃO SANTA TEREZINHA,FEST,Privada com fins lucrativos,Faculdade,Nordeste
2560,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,FAESF/UNEF,Privada com fins lucrativos,Faculdade,Nordeste
2568,FACULDADE ZACARIAS DE GÓES,FAZAG,Privada sem fins lucrativos,Faculdade,Nordeste
12229,FACULDADE DE TECNOLOGIA FAESA - VILA VELHA,CETFAESA,Privada com fins lucrativos,Faculdade,Sudeste
2569,FACULDADE DE TECNOLOGIA FAESA,CET-FAESA,Privada com fins lucrativos,Faculdade,Sudeste
14342,FACULDADE REDENTOR DE CAMPOS,FACREDENTOR,Privada sem fins lucrativos,Faculdade,Sudeste
2571,CENTRO UNIVERSITÁRIO REDENTOR,FACREDENTOR,Privada sem fins lucrativos,Centro Universitário,Sudeste
20090,FACULDADE REDENTOR METROPOLITANA,FACREDENTOR,Privada sem fins lucrativos,Faculdade,Sudeste
17933,FACULDADE REDENTOR DE PARAÍBA DO SUL,FACREDENTOR,Privada sem fins lucrativos,Faculdade,Sudeste
2572,"FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS",FAC,Privada com fins lucrativos,Faculdade,Nordeste
2573,FACULDADE TEOLÓGICA SUL AMERICANA,FTSA,Privada sem fins lucrativos,Faculdade,Sul
22197,FACULDADE ATENAS PASSOS,,Privada com fins lucrativos,Faculdade,Sudeste
22194,FACULDADE ATENAS SETE LAGOAS,,Privada com fins lucrativos,Faculdade,Sudeste
2579,CENTRO UNIVERSITÁRIO ATENAS,UniAtenas,Privada com fins lucrativos,Centro Universitário,Sudeste
2581,FACULDADE SÃO SALVADOR,FSS,Privada com fins lucrativos,Faculdade,Nordeste
2582,FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ,UCP,Privada sem fins lucrativos,Faculdade,Sul
2593,FACULDADE DE JUAZEIRO DO NORTE,FJN,Privada com fins lucrativos,Faculdade,Nordeste
2616,FACULDADE SANTO ANTÔNIO DE PÁDUA,FASAP,Privada com fins lucrativos,Faculdade,Sudeste
2617,FACULDADE SÃO BENTO DO RIO DE JANEIRO,FSB/RJ,Privada sem fins lucrativos,Faculdade,Sudeste
2620,FACULDADE DE AMPÉRE,FAMPER,Privada com fins lucrativos,Faculdade,Sul
2623,FACULDADE DO TAPAJÓS,FAT,Privada sem fins lucrativos,Faculdade,Norte
2629,AJES - FACULDADE DO VALE DO JURUENA,AJES,Privada sem fins lucrativos,Faculdade,Centro-Oeste
2636,FACULDADE DINÂMICA DO VALE DO PIRANGA,FADIP,Privada com fins lucrativos,Faculdade,Sudeste
2642,FACULDADE SÃO VICENTE,FASVIPA,Privada sem fins lucrativos,Faculdade,Nordeste
2647,FACULDADE INTEGRADA DE SANTA MARIA,FISMA,Privada com fins lucrativos,Faculdade,Sul
2652,FACULDADE UNIDA DE VITÓRIA,FACULDADE UNIDA,Privada com fins lucrativos,Faculdade,Sudeste
2677,INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU,ISESJT,Privada com fins lucrativos,Faculdade,Nordeste
2687,FACULDADE DOM ALBERTO,FDA,Privada com fins lucrativos,Faculdade,Sul
12848,FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BARBACENA,,Privada sem fins lucrativos,Faculdade,Sudeste
12772,FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BELO HORIZONTE,FTS,Privada sem fins lucrativos,Faculdade,Sudeste
2703,FACULDADE SENAC MINAS,FSM,Privada sem fins lucrativos,Faculdade,Sudeste
5387,FACULDADE IMPACTA DE TECNOLOGIA,FIT,Privada sem fins lucrativos,Faculdade,Sudeste
2724,INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO,IESMA,Privada com fins lucrativos,Faculdade,Nordeste
1605,FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA,FANOVA,Privada sem fins lucrativos,Faculdade,Centro-Oeste
2744,INSTITUTO SUPERIOR DE EDUCAÇÃO VERA CRUZ,ISE VERA CRUZ,Privada sem fins lucrativos,Faculdade,Sudeste
2766,FACULDADE EMPRESARIAL DE CHAPECÓ,FAEM,Privada com fins lucrativos,Faculdade,Sul
2771,CENTRO DE ENSINO SUPERIOR DE ILHÉUS,CESUPI,Privada com fins lucrativos,Faculdade,Nordeste
2787,FACULDADES PEQUENO PRÍNCIPE,FPP,Privada sem fins lucrativos,Faculdade,Sul
2793,FACULDADE UBS,FACULDADE UBS,Privada com fins lucrativos,Faculdade,Sudeste
2796,FACULDADE DE IPORÁ,FAI,Privada com fins lucrativos,Faculdade,Centro-Oeste
2805,FACULDADE MODELO,FACIMOD,Privada com fins lucrativos,Faculdade,Sul
2806,FACULDADE EVANGÉLICA DE SÃO PAULO,,Privada sem fins lucrativos,Faculdade,Sudeste
2808,FACULDADES ITECNE DE CASCAVEL,ITECNE,Privada com fins lucrativos,Faculdade,Sul
2811,FACULDADE PAULUS DE TECNOLOGIA E COMUNICAÇÃO,FAPCOM,Privada sem fins lucrativos,Faculdade,Sudeste
2814,FACULDADE SÃO SEBASTIÃO,,Privada com fins lucrativos,Faculdade,Sudeste
2826,FACULDADE NOSSA SENHORA DE FÁTIMA,FACULDADE FÁTIMA,Privada sem fins lucrativos,Faculdade,Sul
14717,FACULDADE UNINASSAU CARUARU,,Privada com fins lucrativos,Faculdade,Nordeste
14321,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,UNINASSAU,Privada com fins lucrativos,Centro Universitário,Nordeste
18211,FACULDADE UNINASSAU CABO,,Privada com fins lucrativos,Faculdade,Nordeste
4742,Faculdade Uninassau Olinda - Nassau Olinda,,Privada sem fins lucrativos,Faculdade,Nordeste
4153,Centro Universitário Joaquim Nabuco de Recife,UNINABUCO RECIFE,Privada com fins lucrativos,Centro Universitário,Nordeste
4135,FACULDADE UNINASSAU MANAUS,,Privada com fins lucrativos,Faculdade,Norte
4118,Centro Universitário Joaquim Nabuco de Paulista,UNINABUCO PAULISTA,Privada com fins lucrativos,Centro Universitário,Nordeste
1504,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ,UNINASSAU MACEIÓ,Privada sem fins lucrativos,Centro Universitário,Nordeste
18648,Faculdade Uninassau Arapiraca,,Privada com fins lucrativos,Faculdade,Nordeste
2885,Faculdade Univeritas Universus Veritas de Belo Horizonte - Veritas BH,,Privada sem fins lucrativos,Faculdade,Sudeste
2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,UNINASSAU,Privada com fins lucrativos,Centro Universitário,Nordeste
19335,FACULDADE UNIVERITAS UNIVERSUS VERITAS ANÁPOLIS,VERITAS ANÁPOLIS,Privada com fins lucrativos,Faculdade,Centro-Oeste
18671,FACULDADE DA AMAZÔNIA DE PORTO VELHO,,Privada com fins lucrativos,Faculdade,Norte
19844,FACULDADE UNINASSAU SOBRAL,,Privada com fins lucrativos,Faculdade,Nordeste
19334,Faciuldade Uninassau Brasília,Nassau Brasília,Privada com fins lucrativos,Faculdade,Centro-Oeste
18075,FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES,UNINASSAU,Privada com fins lucrativos,Faculdade,Nordeste
18652,FACULDADE UNINASSAU JUAZEIRO DO NORTE,,Privada com fins lucrativos,Faculdade,Nordeste
18653,Faculdade Uninassau Garanhuns,Nassau Garanhuns,Privada com fins lucrativos,Faculdade,Nordeste
18651,Unama Faculdade da Amazônia de Boa Vista,UNAMA,Privada com fins lucrativos,Faculdade,Norte
18650,UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO,FMN RIO BRANCO,Privada com fins lucrativos,Faculdade,Norte
18649,FACULDADE UNINASSAU MOSSORÓ,,Privada com fins lucrativos,Faculdade,Nordeste
18643,FACULDADE UNINASSAU MARACANAÚ,,Privada com fins lucrativos,Faculdade,Nordeste
18023,FACULDADE UNINASSAU PETROLINA,,Privada com fins lucrativos,Faculdade,Nordeste
17816,FACULDADE UNINASSAU FEIRA DE SANTANA,,Privada com fins lucrativos,Faculdade,Nordeste
2836,FACULDADE SUL DA AMÉRICA,SULDAMÉRICA,Privada com fins lucrativos,Faculdade,Centro-Oeste
2843,FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA,FCMS/JF,Privada com fins lucrativos,Faculdade,Sudeste
22121,Faculdade de Ciências Médicas de Três Rios,FCM/TR,Privada com fins lucrativos,Faculdade,Sudeste
2845,FACULDADE REINALDO RAMOS,FARR,Privada com fins lucrativos,Faculdade,Nordeste
2849,ESCOLA SUPERIOR DOM HELDER CÂMARA,ESDHC,Privada sem fins lucrativos,Faculdade,Sudeste
2855,FACULDADE SÃO FRANCISCO DE ASSIS,UNIFIN,Privada com fins lucrativos,Faculdade,Sul
2859,FACULDADE DE BELÉM,FABEL,Privada com fins lucrativos,Faculdade,Norte
2870,FACULDADE SERRA DO CARMO,FASEC,Privada com fins lucrativos,Faculdade,Norte
2886,FACULDADE ZUMBI DOS PALMARES,FAZP,Privada sem fins lucrativos,Faculdade,Sudeste
2896,FACULDADE SATC,FASATC,Privada sem fins lucrativos,Faculdade,Sul
2903,FACULDADE CONCÓRDIA,FACC,Privada com fins lucrativos,Faculdade,Sul
3992,FACULDADE JK - PLANO PILOTO,-,Privada com fins lucrativos,Faculdade,Centro-Oeste
2904,FACULDADE JK - GUARÁ,JK,Privada com fins lucrativos,Faculdade,Centro-Oeste
2910,FACULDADE VERDE NORTE,FAVENORTE,Privada com fins lucrativos,Faculdade,Sudeste
2915,FACULDADE CIDADE DE PATOS DE MINAS,FPM,Privada sem fins lucrativos,Faculdade,Sudeste
2918,FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA,FESAR,Privada com fins lucrativos,Faculdade,Norte
2613,Centro Universitário Meta,,Privada com fins lucrativos,Centro Universitário,Norte
2935,FACULDADE DE TALENTOS HUMANOS,FACTHUS,Privada com fins lucrativos,Faculdade,Sudeste
2949,FACULDADE DO BAIXO PARNAÍBA,FAP,Privada com fins lucrativos,Faculdade,Nordeste
2950,Centro Universitário FADERGS,FADERGS,Privada com fins lucrativos,Centro Universitário,Sul
2961,FACULDADE DO PANTANAL MATOGROSSENSE,FAPAN,Privada com fins lucrativos,Faculdade,Centro-Oeste
2964,FACULDADE PROJEÇÃO DO GUARÁ,,Privada sem fins lucrativos,Faculdade,Centro-Oeste
2971,FACULDADE BARRETOS,FB,Privada com fins lucrativos,Faculdade,Sudeste
3004,INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA,IESC,Privada com fins lucrativos,Faculdade,Nordeste
3008,FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS,FACULDADE INPG - SJC,Privada com fins lucrativos,Faculdade,Sudeste
3012,FAJOPA - FACULDADE JOÃO PAULO II,FAJOPA,Privada sem fins lucrativos,Faculdade,Sudeste
3020,FACULDADE SANTA RITA DE CÁSSIA,IFASC,Privada com fins lucrativos,Faculdade,Centro-Oeste
3029,FACULDADE DA AMAZÔNIA,FAAM,Privada com fins lucrativos,Faculdade,Norte
3034,FACULDADE DELTA,FACDELTA,Privada com fins lucrativos,Faculdade,Nordeste
3039,FACULDADE VASCONCELLOS & SOUZA,,Privada sem fins lucrativos,Faculdade,Sudeste
3042,CHRISTUS FACULDADE DO PIAUÍ,CHRISFAPI,Privada com fins lucrativos,Faculdade,Nordeste
3051,FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS,FAETEL,Privada sem fins lucrativos,Faculdade,Sudeste
13832,FACULDADE SAGRADA FAMÍLIA,FASF,Privada sem fins lucrativos,Faculdade,Sul
3099,FACULDADE INTERNACIONAL DA PARAÍBA,FPB,Privada com fins lucrativos,Faculdade,Nordeste
3146,FACULDADE DE ODONTOLOGIA DO RECIFE,FOR,Privada sem fins lucrativos,Faculdade,Nordeste
3148,FACULDADE ANCHIETA DO RECIFE,FAR,Privada com fins lucrativos,Faculdade,Nordeste
3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Privada sem fins lucrativos,Universidade,Sul
146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Privada com fins lucrativos,Centro Universitário,Sudeste
3171,FACULDADE EQUIPE,,Privada sem fins lucrativos,Faculdade,Sul
3172,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,Pública Estadual,Universidade,Norte
3192,INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAJAZEIRAS,ISEC,Privada com fins lucrativos,Faculdade,Nordeste
3194,FACULDADE DE MINAS BH,FAMINAS-BH,Privada com fins lucrativos,Faculdade,Sudeste
3204,FACULDADE DE QUATRO MARCOS,FQM,Privada com fins lucrativos,Faculdade,Centro-Oeste
3205,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE VIÇOSA,FAVIÇOSA,Privada com fins lucrativos,Faculdade,Sudeste
3223,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,ESCS,Pública Estadual,Faculdade,Centro-Oeste
3268,FACULDADE MADRE THAIS,FMT,Privada com fins lucrativos,Faculdade,Nordeste
4597,FACULDADE FUTURA,,Privada sem fins lucrativos,Faculdade,Sudeste
3285,FACULDADE SANTO ANTONIO,FSA,Privada com fins lucrativos,Faculdade,Nordeste
5133,FACULDADE SENAC SÃO MIGUEL DO OESTE,,Privada sem fins lucrativos,Faculdade,Sul
5131,FACULDADE SENAC CAÇADOR,SENAC,Privada sem fins lucrativos,Faculdade,Sul
4294,FACULDADE SENAC JARAGUÁ DO SUL,,Privada sem fins lucrativos,Faculdade,Sul
3948,FACULDADE SENAC BLUMENAU,SENAC,Privada sem fins lucrativos,Faculdade,Sul
3947,FACULDADE SENAC CHAPECÓ,SENAC,Privada sem fins lucrativos,Faculdade,Sul
3946,FACULDADE SENAC TUBARÃO,,Privada sem fins lucrativos,Faculdade,Sul
3295,FACULDADE SENAC FLORIANÓPOLIS,SENAC FLORIANÓPOLIS,Privada sem fins lucrativos,Faculdade,Sul
18201,FACULDADE SENAC PALHOÇA,SENAC Palhoça,Privada sem fins lucrativos,Faculdade,Sul
17777,FACULDADE SENAC CONCÓRDIA,,Privada sem fins lucrativos,Faculdade,Sul
